omega	G_prime	G_second_prime
100	5.36375	11.1515
79.4328	4.19081	9.51066
63.0957	3.24341	8.04669
50.1187	2.49108	6.76771
39.8107	1.88741	5.65401
31.6228	1.38358	4.7183
25.1189	1.05212	3.88974
19.9526	0.76851	3.18573
15.8489	0.55488	2.60746
12.5893	0.40386	2.11657
10	0.28614	1.71634
7.94328	0.20679	1.38115
6.30957	0.13565	1.11314
5.01187	0.09919	0.90764
3.98107	0.07397	0.72161
3.16228	0.04458	0.58043
2.51189	0.03529	0.46309
1.99526	0.0221	0.35608
1.58489	0.01638	0.29498
1.25893	0.01015	0.2398
1	0.00508	0.19268
0.79433	0.00513	0.14649
0.63096	0.00421	0.1183
0.50119	0.00103	0.08829
0.39811	-7.10574E-4	0.07072
0.31623	3.16807E-4	0.05434
0.25119	5.20882E-4	0.04436
0.19953	0.00442	0.03682
0.15849	0.00345	0.0281
0.12589	-0.00121	0.02701
0.1	-0.00116	0.01929
